club_name,skater_count
Direct,59
Gateway,45
Northbrook,44
PGS,44
USA-BSS,43
USA-PTSC,43
Potomac,42
USA-GSSC,39
Bay State Speedskating,33
Oval Speed,32
Speed Skating Club,32
Madison,31
Garden State Speedskating,29
Speedskating Club,29
USA-DSSC,29
USA-SWC,29
CAN,28
Danbury Speedskating,27
Glen Ellyn,27
USA-PSSP,27
Potomac SPeedskating,26
Pinnacle,25
USA-FMSC,23
USA-EPSSC,22
Lakewood,21
Wisconsin,21
Danbury,20
USA-SYSC,20
Midway Speedskating,19
USA-BSC,19
USA-UCBSSC,19
Buffalo,18
Champaign,18
Cleveland Heights,18
USA-PSC,18
Wolverine,18
Flushing Meadows Speedskating,17
Full Throttle,17
USA-ASSC,17
USA-LWSSC,17
USA-CHS,16
Garden State,15
Park Ridge,15
Bay State SPeedskating,14
CAN-MRSSC,14
Columbus,14
East Penn SPeedskating,14
Elmbrook,14
Gateway Speedskating Club,14
Speedskating,14
USA-NBSSC,14
Colorado Gold,13
USA-ESSC,13
United Capital Blades,13
East Penn,12
PNIC,12
United Capital Blades Speedskating Club,12
Bay State,11
Champaign Regional,11
Connecticut Speedskating,11
Saratoga,11
Syracuse,11
United Capital Blades SPeedskating,11
Wisconsin Speed Skating Club,11
Dominion,10
Ellyn,10
Franklin Park,10
Pittsburgh,10
Saratoga Winter Club,10
West Michigan,10
JPN,9
LARSC,9
Northern California,8
OSSC,8
SSC,8
State,8
State Speedskating,8
USA-PNIC,8
CAN-MSSC,7
Pittsburgh SPeedskating,7
USA-CSSC,7
CAN-NMSSC,6
CAN-NSSC,6
EVD Speed Skating Club,6
Flushing Meadows Speed Skating Club,6
Park,6
Rochester,6
School District Speedskating Club,6
TCL,6
Throttle,6
USA-ESDSSC,6
USA-OSC,6
Glen Ellyn Speed Skating,5
Markham,5
Meadows Speedskating,5
NCA,5
Northbrook SSC,5
POC,5
Puget Sound,5
Speed,5
St. Lawrence,5
Taconic Speedskating,5
USA-FTSST,5
Upper Valley Speed Skating,5
EVD,4
EVDSS,4
Flushing Meadows,4
Franklin Park SSC,4
Gateway SSC,4
Jefferson City,4
Milton,4
Northbrook Speed Skating Club,4
Park Ridge SSC,4
Potomac Speedskating,4
Ridge,4
Santa Clarita,4
Speedskating Program,4
Syracuse Speed Skating,4
USA-COLSC,4
USA-GMS,4
USA-GWSS,4
Wisconsin SSC,4
AUS,3
Beijing Xingruibingxue Club,3
DASH,3
Elmbrook School District Speedskating Club,3
Great Atlantic Speedskating,3
Heights,3
MTV,3
Meadows,3
Meteor,3
Michigan,3
Milton Speed Skating Club,3
PCSSC,3
Park City,3
Penn,3
Phoenix,3
RRK,3
USA-DIRECT,3
USA-TSSC,3
USA-UVSC,3
CAN-LSSC,2
CAN-OSSC,2
CAN-TSSC,2
Cambridge,2
Cornerstone Speedskating Club,2
East Penn Speedskating,2
Ellyn Speed Skating,2
Evergrand,2
Full Trottle,2
GS,2
Glen Ellyn SSC,2
Glen Ellyn Speed Skating Club,2
LTSS,2
London,2
Madison Speed Skating Club,2
Regional,2
Regional SSC,2
Regional Speedskating,2
Sound,2
Sports Club,2
TPE,2
Timpanogos,2
USA,2
USA-CBSSC,2
USA-CRS,2
USA-RSST,2
USA-UCB,2
USA-WSC,2
VNC,2
WTC,2
Wolverine Sports Club,2
(Mary Elizabeth) Cleveland Heights,1
1. Direct 0:43.834,1
1. Direct 0:45.907,1
1. Direct 0:49.296,1
108.00,1
512.00,1
640.00,1
AUS 1:20.879,1
AUS 2:38.973,1
Alec,1
"BC,CAN 1:33.598",1
"BC,CAN 2:34.428",1
"BC,CAN 2:47.921",1
BUR,1
Bay State Speedskating 0:36.110,1
Bay State Speedskating 1:22.050,1
Bay State Speedskating 1:43.830,1
Bay State Speedskating 2:02.360,1
Bay State Speedskating 2:02.700,1
Bay State Speedskating 2:05.420,1
Bay State Speedskating 2:09.550,1
Bay State Speedskating 2:18.770,1
Bay State Speedskating 3:29.480,1
Buffalo Speedskating Club,1
CAN 0:46.095,1
CAN 1:20.374,1
CAN-CPVMG,1
CAN-YSSC,1
CHE 2:44.982,1
COL,1
COL 1:32.242,1
CZE,1
CZE 2:17.819,1
CZE 2:32.989,1
CZE 2:37.216,1
California,1
Capital Blades,1
Capital Blades Speedskating,1
Champaign Regional Speedskating,1
City,1
City Speed Skating Club,1
Cleveland Heights 1:10.580,1
Cleveland Heights 1:57.260,1
Cleveland Heights SPeedskating,1
Colorado Gold Speedskating 0:51.249,1
Columbus 0:54.770,1
Columbus 1:00.510,1
Columbus 1:01.850,1
Columbus 1:09.130,1
Columbus 1:10.760,1
Columbus 1:12.540,1
Columbus 1:18.230,1
Columbus 2:04.550,1
Columbus 2:29.630,1
Columbus 2:51.950,1
Columbus 3:10.360,1
Columbus Speedskating Club,1
Connecticut,1
Connecticut Speedskating 0:37.800,1
DIR,1
